Name,Gender
Mahalingam Dega,Male
Kamalavathi Lingamgunta,Female
Shivaramakrishnaiah Garikapati,Male
Maheshwari Kadali,Female
Kishore Repaka,Male
Vinitha Tripuraneni,Female
Nataraja Jaganmohan,Male
Srilaxmi Saagi,Female
Janakiramaiah Vemuri,Male
Hrudhya Mullapudi,Female
Manikanta Narepalli,Male
Vasanthi Bayyapu,Female
Kakani Bellapu,Male
Niharika Koyyada,Female
Raju Nandyala,Male
Bhagyamma Mekapothula,Female
Chittemmaiah Uppalapati,Male
Mahitha Lingala,Female
Simhadri Kona,Male
Andalamma Gondi,Female
