Name,Gender
Devendra Marpalli,Male
Poornachandra Yenagi,Female
Brahman Alva,Male
Mayuri Gudi,Female
Charan Malgudi,Male
Vishnupriya Ellur,Female
Udayendra Shivamurthy,Male
Sudhakumari Basavappa,Female
Yogeshwar Gudigere,Male
Malavikaamma Salagame,Female
Kiranraj Karnad,Male
Vimalinikumari Arsikere,Female
Bhuvanesh Rathnakara,Male
Poornima Kolar,Female
Ravikumar Thimmaiah,Male
Meenaamma Kalmath,Female
Lingaraj Sunil,Male
Rajeshwaridevi Gudigere,Female
Nagaraj Urmil,Male
Appi Koppal,Female
