Name,Gender
Rampal Kapila,Male
Kulmindar Kaur Dhaliwal,Female
Kuldeep Kahlon,Male
Shivani Mahajan,Female
Manmohan Sharma,Male
Kulmindar Kaur Bains,Female
Surmindar Singh Malhotra,Male
Dalveer Kaur Mann,Female
Sukhmindar Grewal,Male
Vidya Sachdeva,Female
Charanjit Kapur,Male
Baljindar Kaur Chahal,Female
Balvinder Puri,Male
Jaspal Kaur Kang,Female
Ravindra Khurrana,Male
Harpreet Prabhakar,Female
Kartar Katyal,Male
Prabhjot Puri,Female
Pargat Sahi,Male
Mahaindar Kaur Bhatia,Female
