Name,Gender
Niranjan Dadi,Male
Pumi Teli,Female
Nitai Kundu,Male
Usha Luma,Female
Nabin Raja,Male
Mangkhi Dandia,Female
Hemin Dholia,Male
Thirni Kande,Female
Nitai Tula,Male
Rekha Pati,Female
Narayan Koiya,Male
Chameli Tora,Female
Balin Barha,Male
Chimong Raja,Female
Sagar Lari,Male
Kherai Lita,Female
Kamal Madiya,Male
Gini Baruni,Female
Sukal Tadi,Male
Kamli Wado,Female
Arvin Thozhan,Male
Shanti Maran,Female
Gokhay Ramaiya,Male
Kamini Perumal,Female
Hari Ambar,Male
Rani Lakshan,Female
Vikash Charan,Male
Pooja Thivakaran,Female
Akhil Manik,Male
Meenal Thirumalai,Female
Kunal Chevvan,Male
Meenal Sathyamoorthy,Female
Rajiv Mani,Male
Shruti Sivaram,Female
Keshav Kallai,Male
Rupal Chevvan,Female
Bimal Rathi,Male
Naina Kannai,Female
Kunal Santhan,Male
Sushmita Kayan,Female
Pankaj Yama,Male
Meenal Nandhi,Female
Ankur Veka,Male
Rupal Yellaiah,Female
Nandu Zenda,Male
Radhika Samma,Female
Deepak Motti,Male
Sita Raja,Female
Dalpat Yadu,Male
Uma Raja,Female
Kanti Yadu,Male
Rupa Bhima,Female
Ravi Sani,Male
Uma Chinta,Female
Narayan Sambi,Male
Rupal Barla,Female
Kalyan Thiru,Male
Ganga Vaddi,Female
Vikash Raju,Male
Vasudha Bhatti,Female
Sandeep Dhurve,Male
Chitra Batti,Female
Arvind Kunjam,Male
Aloka Batti,Female
Bhanu Korram,Male
Panchali Meshram,Female
Yadvendra Maravi,Male
Shanvika Kawle,Female
Govind Batti,Male
Rajini Korram,Female
Yogesh Salame,Male
Namu Tumram,Female
Vishal Kawle,Male
Tungini Tekam,Female
Hemant Kunjam,Male
Indraja Uike,Female
Jaidev Kunjam,Male
Kamini Chaudhari,Female
Aditya Batti,Male
Marai Siddam,Female
Durga Hembrom,Male
Mukta Corea,Female
Somnath Besra,Male
Sarita Baskey,Female
Paritosh Manjhi,Male
Bimala Corea,Female
Pankaj Champa,Male
Namita Hembrom,Female
Banshidhar Hembrom,Male
Bani Baskey,Female
Sunil Chore,Male
Mukta Baskey,Female
Bankim Bedea,Male
Padma Chore,Female
Prem Soren,Male
Nilima Murmu,Female
Tarun Hasa,Male
Meena Panna,Female
Naresh Tudu,Male
Sharmila Chore,Female
Lali Karadi,Male
Geeta Kanbi,Female
Bhairu Koli,Male
Kiran Vasa,Female
Bharat Gamit,Male
Damini Chauhan,Female
Madhav Vasa,Male
Nandini Karadi,Female
Sona Sarvani,Male
Alka Yadav,Female
Amar Jadhav,Male
Arpita Vahora,Female
Jatan Goswami,Male
Anita Rajgarhia,Female
Suraj Dama,Male
Vasanti Jadav,Female
Shankar Jamal,Male
Vidya Vahora,Female
Dhanraj Patwari,Male
Deepa Hadi,Female
Laxman Rora,Male
Maya Kisku,Female
Banshi Koska,Male
Renuka Mahato,Female
Lokesh Rengma,Male
Maya Chandra,Female
Harendra Rajak,Male
Neelam Digra,Female
Vasant Gagrai,Male
Kanak Gossai,Female
Satish Munda,Male
Yamini Giddu,Female
Veer Sardar,Male
Padma Kumar,Female
Ashok Chhatar,Male
Tripti Pahan,Female
Vishnu Damor,Male
Namita Giri,Female
Amba Kachhap,Male
Bela Minz,Female
Unim Suh,Male
Tomsang Mawsem,Female
Eldor Kihim,Male
Gengri Momin,Female
Endro Kynjoh,Male
Ingmar Tysim,Female
Thawai Suh,Male
Laiti Myrboh,Female
Keishing Kharshiing,Male
Pyndeh Mynsong,Female
Iengkong Wensy,Male
Bishka Hadem,Female
Laitlang Wahlang,Male
Bishka Mawkhar,Female
Niang Hyrno,Male
Gengri Wahngar,Female
Samla Tysim,Male
Biah Tynsong,Female
Reikman Sumer,Male
Nao Hlemlang,Female
Orem Richa,Male
Lomo Vathen,Female
Lungshim Chakhesang,Male
Jena Sathu,Female
Dazhi Nyekho,Male
Jenti Nyekho,Female
Zhimomi Nienu,Male
Jemkhum Pongen,Female
Luko Konyak,Male
Muli Hoshi,Female
Inru Thinu,Male
Zeling Munglong,Female
Chinghao Lhouvum,Male
Amulu Rony,Female
Zhoho Changki,Male
Changnuk Tili,Female
Nono Mungro,Male
Akini Sathu,Female
Likhom Lotha,Male
Kachi Chishi,Female
